C_Fiscale,Nominativo,Indirizzo,Citta,CAP
ABC12345Z,Mario Rossi,Via Roma 1,Roma,00100
DEF67890Y,Laura Bianchi,Corso Italia 22,Milano,20100
GHI13579X,Luca Verdi,Viale dei Fiori 5,Napoli,80100
JKL24680W,Giulia Neri,Piazza Duomo 7,Firenze,50100
MNO35791V,Antonio Esposito,Largo Garibaldi 10,Bari,70100
PQR46802U,Sofia Moretti,Via Mazzini 15,Torino,10100
STU57913T,Giovanni Gialli,Corso Vittorio Emanuele 3,Palermo,90100
VWX68024S,Chiara Rossetti,Via Dante 20,Verona,37100
YZA79135R,Elena Ferrara,Piazza Navona 12,Bologna,40100
BCD80246Q,Marco Russo,Corso Umberto 18,Genova,16100
